No,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
0,986717,Kruisfontein,ZA,-34.0033,24.7314,48.88,89,3,4.41
1,746983,Gelibolu,TR,40.4103,26.6708,76.86,76,0,1.77
2,2206939,Bluff,NZ,-46.6,168.3333,49.8,96,100,9.26
3,537094,Lal'sk,RU,60.7415,47.5862,70.74,69,41,5.01
4,5122534,Jamestown,US,42.097,-79.2353,78.28,39,1,11.01
5,728193,Plovdiv,BG,42.15,24.75,78.4,66,20,9.22
6,2126785,Belaya Gora,RU,68.5333,146.4167,74.14,32,35,5.44
7,6167817,Torbay,CA,47.6666,-52.7314,58.95,72,20,8.05
8,1490256,Talnakh,RU,69.4865,88.3972,49.41,67,100,8.21
9,1651810,Airai,TL,-8.9266,125.4092,57.78,92,16,2.26
10,2449893,Tessalit,ML,20.1986,1.0114,92.28,25,69,9.84
11,339551,Dejen,ET,10.1667,38.1333,58.26,59,100,3.38
12,1626932,Singaraja,ID,-8.112,115.0882,78.22,83,22,2.51
13,3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,37,20,18.41
14,2377457,Nouadhibou,MR,20.931,-17.0347,69.78,73,3,18.41
15,3445026,Vila Velha,BR,-20.3297,-40.2925,67.95,83,0,0.0
16,3441890,Departamento de Maldonado,UY,-34.6667,-54.9167,54.79,87,100,24.27
17,3444924,Vitória,BR,-20.3194,-40.3378,67.86,83,0,0.0
18,6170031,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,59,75,14.97
19,6201424,Mataura,NZ,-46.1927,168.8643,49.48,93,100,4.29
20,933995,Souillac,MU,-20.5167,57.5167,70.18,56,20,9.22
21,3874787,Punta Arenas,CL,-53.15,-70.9167,33.91,93,40,5.75
22,1715335,Davila,PH,18.4726,120.5763,76.98,81,100,9.15
23,5855927,Hilo,US,19.7297,-155.09,80.4,66,75,10.36
24,2155415,New Norfolk,AU,-42.7826,147.0587,40.64,89,75,1.28
25,3380290,Sinnamary,GF,5.3833,-52.95,79.72,81,17,7.7
26,2191562,Dunedin,NZ,-45.8742,170.5036,52.81,73,100,7.0
27,2126123,Chokurdakh,RU,70.6333,147.9167,56.25,44,100,12.33
28,2074865,Carnarvon,AU,-24.8667,113.6333,42.87,49,6,9.22
29,286621,Salalah,OM,17.0151,54.0924,80.69,83,75,8.05
30,935215,Saint-Philippe,RE,-21.3585,55.7679,63.61,65,37,7.45
31,3460107,Jaraguá,BR,-15.7569,-49.3344,75.42,31,0,1.86
32,3430863,Mar del Plata,AR,-38.0023,-57.5575,53.73,66,0,7.0
33,6185377,Yellowknife,CA,62.456,-114.3525,70.32,46,20,12.66
34,3379507,Bartica,GY,6.4,-58.6167,84.52,85,95,3.83
35,3893726,Constitución,CL,-35.3333,-72.4167,54.05,86,100,10.38
36,3355672,Lüderitz,NA,-26.6481,15.1594,56.91,73,3,6.55
37,3833367,Ushuaia,AR,-54.8,-68.3,40.66,75,40,17.27
38,3430443,Necochea,AR,-38.5473,-58.7368,53.04,69,0,15.79
39,2092164,Lorengau,PG,-2.0226,147.2712,80.55,82,99,4.34
40,3369157,Cape Town,ZA,-33.9258,18.4232,48.31,88,0,2.3
41,3671497,Puerto Colombia,CO,10.9878,-74.9547,75.29,73,100,10.31
42,3393838,Nova Olinda do Norte,BR,-3.8881,-59.0942,83.03,70,98,2.95
43,3448903,São João da Barra,BR,-21.6403,-41.0511,69.89,68,66,9.98
44,934649,Cap Malheureux,MU,-19.9842,57.6142,69.48,64,92,4.0
45,3831208,Qaanaaq,GL,77.484,-69.3632,40.48,74,92,1.3
46,2058430,Whyalla,AU,-33.0333,137.5833,48.83,77,14,11.79
47,5354943,Half Moon Bay,US,37.4636,-122.4286,72.41,61,1,11.5
48,2276492,Harper,LR,4.375,-7.7169,75.81,89,100,7.09
49,3421719,Narsaq,GL,60.9167,-46.05,48.42,98,100,4.03
50,779622,Havøysund,NO,70.9963,24.6622,50.88,85,100,4.72
51,4020109,Atuona,PF,-9.8,-139.0333,78.26,78,20,10.98
52,2643044,Margate,GB,51.3813,1.3862,62.31,87,100,1.99
53,5848280,Kapaa,US,22.0752,-159.319,81.23,72,1,3.0
54,1015776,Bredasdorp,ZA,-34.5322,20.0403,43.92,93,0,6.91
55,1507390,Dikson,RU,73.5069,80.5464,32.63,90,64,17.43
56,103630,Najrān,SA,17.4924,44.1277,86.65,12,63,4.43
57,2075265,Busselton,AU,-33.65,115.3333,43.05,74,96,8.08
58,2823141,Thale,DE,51.75,11.05,62.37,95,100,3.42
59,4030556,Rikitea,PF,-23.1203,-134.9692,75.2,76,55,8.23
60,2264557,Ponta do Sol,PT,32.6667,-17.1,66.13,54,15,4.03
61,108410,Riyadh,SA,24.6877,46.7219,91.54,13,0,5.39
62,964432,Port Alfred,ZA,-33.5906,26.891,57.67,81,74,6.4
63,4033557,Tautira,PF,-17.7333,-149.15,80.62,81,48,16.35
64,2014624,Udachny,RU,66.4167,112.4,61.59,47,0,4.61
65,505820,Povenets,RU,62.8487,34.8262,61.79,95,99,4.94
66,5911745,Burns Lake,CA,54.2331,-125.7533,67.42,46,100,7.43
67,3423146,Ilulissat,GL,69.2167,-51.1,44.62,61,4,4.61
68,3366880,Hermanus,ZA,-34.4187,19.2345,50.81,79,0,11.05
69,1649150,Bengkulu,ID,-3.8004,102.2655,74.3,91,78,4.21
70,2015306,Tiksi,RU,71.6872,128.8694,34.3,87,100,5.66
71,5924351,Clyde River,CA,70.4692,-68.5914,48.43,66,75,9.22
72,5106841,Albany,US,42.6001,-73.9662,76.39,39,0,9.55
73,4032243,Vaini,TO,-21.2,-175.2,73.56,78,20,17.27
74,2017155,Saskylakh,RU,71.9167,114.0833,58.86,44,95,9.8
75,2110227,Butaritari,KI,3.0707,172.7902,82.62,77,69,15.43
76,5367788,Lompoc,US,34.6391,-120.4579,70.95,65,1,13.8
77,3354077,Opuwo,NA,-18.0607,13.84,60.58,36,0,6.64
78,5392900,Santa Ana,US,33.7456,-117.8678,78.58,54,20,3.0
79,546105,Nikolskoye,RU,59.7035,30.7861,64.87,97,7,1.99
80,3382160,Cayenne,GF,4.9333,-52.3333,83.08,78,40,1.99
81,3491161,Bull Savanna,JM,17.8868,-77.5902,81.12,71,89,10.96
82,4031574,Provideniya,RU,64.3833,-173.3,64.51,55,0,11.18
83,2138555,Poum,NC,-20.2333,164.0167,73.78,62,84,21.07
84,3466165,Cidreira,BR,-30.1811,-50.2056,61.23,95,79,3.89
85,1729469,Baculin,PH,7.4525,126.5842,77.05,85,91,3.89
86,2450173,Taoudenni,ML,22.6783,-3.9836,104.5,8,3,8.23
87,739598,Sinop Province,TR,41.7711,34.8709,61.36,80,16,3.36
88,6113406,Prince Rupert,CA,54.3161,-130.3201,61.99,85,100,0.89
89,2108857,Gizo Government Station,SB,-8.103,156.8419,81.55,78,72,10.07
90,3883457,Lebu,CL,-37.6167,-73.65,52.84,87,100,7.65
91,5364271,Laguna,US,38.421,-121.4238,85.03,38,1,5.01
92,2018069,Peleduy,RU,59.6289,112.7406,67.53,66,52,2.46
93,3471451,Arraial do Cabo,BR,-22.9661,-42.0278,71.46,68,0,14.97
94,3832899,Viedma,AR,-40.8135,-62.9967,57.51,41,14,21.65
95,942701,Vrede,ZA,-27.4257,29.1659,46.87,52,3,1.74
96,244878,Biltine,TD,14.5333,20.9167,82.13,49,77,11.23
97,5970873,Hare Bay,CA,48.8499,-54.0148,60.42,48,6,6.96
