City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2206939,Bluff,NZ,-46.6,168.3333,53.8,77,100,16.06
6138802,Saint-Michel-des-Saints,CA,46.6834,-73.9159,52.93,73,38,7.58
4030556,Rikitea,PF,-23.1203,-134.9692,75.72,77,8,10.49
5122534,Jamestown,US,42.097,-79.2353,54.7,82,1,1.99
149812,Sokoni,TZ,-6.4333,39.55,78.22,69,20,13.82
1015776,Bredasdorp,ZA,-34.5322,20.0403,54.5,69,100,3.09
3412093,Vestmannaeyjar,IS,63.4427,-20.2734,48.49,69,86,4.59
4020109,Atuona,PF,-9.8,-139.0333,78.85,72,15,19.84
3874787,Punta Arenas,CL,-53.15,-70.9167,39.31,70,75,16.11
2460954,Araouane,ML,18.9048,-3.5265,93.65,23,19,9.95
1214026,Sabang,ID,5.8933,95.3214,83.46,73,25,11.61
3833367,Ushuaia,AR,-54.8,-68.3,37.06,75,75,13.8
964432,Port Alfred,ZA,-33.5906,26.891,59.97,77,100,5.66
2644605,Lerwick,GB,60.1545,-1.1494,53.6,97,100,10.49
6201424,Mataura,NZ,-46.1927,168.8643,53.47,73,100,7.05
290030,Doha,QA,25.2867,51.5333,98.58,41,0,5.75
876177,Luau,AO,-10.7073,22.2247,74.57,28,72,7.94
1242110,Kalmunai,LK,7.4167,81.8167,91.09,52,53,9.69
2990354,Arrondissement de Niort,FR,46.3333,-0.3333,63.99,67,24,1.01
464790,Zapolyarnyy,RU,69.4154,30.8136,51.08,86,100,4.99
2025630,Chara,RU,56.9064,118.2631,82.15,31,30,3.36
546105,Nikolskoye,RU,59.7035,30.7861,79.02,49,52,3.44
64814,Bandarbeyla,SO,9.4942,50.8122,89.76,46,100,26.24
229059,Moyo,UG,3.6609,31.7247,80.17,47,3,4.36
2246451,Saint-Louis,SN,16.3333,-15,86.63,19,4,5.41
605155,Kiruna,SE,67.8557,20.2251,59.92,55,0,0
3652764,Puerto Ayora,EC,-0.7393,-90.3518,72.43,87,95,9.08
3366880,Hermanus,ZA,-34.4187,19.2345,57.9,64,94,5.17
2236967,Soyo,AO,-6.1349,12.3689,75.42,72,16,4.5
161616,Balkanabat,TM,39.5108,54.3671,100.18,8,0,18.12
1282256,Hithadhoo,MV,-0.6,73.0833,83.19,70,12,6.55
1507390,Dikson,RU,73.5069,80.5464,32.31,97,76,14.72
556111,Isakly,RU,54.1333,51.5333,84.25,57,3,0.63
1489853,Tazovsky,RU,67.4667,78.7,46.15,73,72,7.27
5106841,Albany,US,42.6001,-73.9662,46.96,89,9,2.75
